Iter   f          |gradf|    alpha     
-------------------------------------
1      9.49e+04   1.13e+03   2.50e-01  
2      7.73e+04   1.15e+03   2.75e-02  
3      4.54e+04   8.72e+02   4.83e-02  
4      1.63e+04   5.08e+02   7.63e-02  
5      2.99e+03   1.89e+02   1.03e-01  
6      7.01e+02   6.30e+01   1.28e-01  
7      3.09e+02   3.88e+01   1.97e-01  
8      7.07e+01   2.46e+01   3.17e-01  
9      -6.87e+01  1.21e+01   4.62e-01  
10     -1.11e+02  6.85e+00   2.88e-01  
11     -1.13e+02  8.48e+00   1.02e-01  
12     -1.17e+02  2.57e+00   1.19e-01  
13     -1.18e+02  2.04e+00   2.08e-01  
14     -1.19e+02  1.52e+00   3.62e-01  
15     -1.20e+02  8.71e-01   5.64e-01  
16     -1.20e+02  4.76e-01   3.62e-01  
17     -1.20e+02  7.97e-01   1.73e-03  
18     -1.20e+02  7.85e-01   3.43e-03  
19     -1.20e+02  7.62e-01   6.75e-03  
20     -1.20e+02  7.18e-01   1.31e-02  
21     -1.20e+02  6.39e-01   2.48e-02  
22     -1.20e+02  5.09e-01   4.45e-02  
23     -1.20e+02  3.35e-01   7.32e-02  
24     -1.20e+02  1.86e-01   1.10e-01  
25     -1.20e+02  1.32e-01   1.76e-01  
26     -1.20e+02  1.06e-01   3.14e-01  
27     -1.20e+02  6.96e-02   5.19e-01  
28     -1.20e+02  3.98e-02   3.62e-01  
29     -1.20e+02  6.42e-02   1.34e-01  
30     -1.20e+02  2.51e-02   1.08e-01  
31     -1.20e+02  1.41e-02   1.41e-01  
32     -1.20e+02  1.20e-02   2.60e-01  
33     -1.20e+02  8.69e-03   4.46e-01  
34     -1.20e+02  5.55e-03   3.30e-01  
35     -1.20e+02  7.86e-03   2.27e-01  
36     -1.20e+02  9.49e-03   4.89e-03  
37     -1.20e+02  9.05e-03   9.55e-03  
38     -1.20e+02  8.24e-03   1.82e-02  
39     -1.20e+02  6.84e-03   3.34e-02  
40     -1.20e+02  4.81e-03   5.67e-02  
41     -1.20e+02  2.73e-03   8.67e-02  
42     -1.20e+02  1.81e-03   1.34e-01  
43     -1.20e+02  1.54e-03   2.45e-01  
44     -1.20e+02  1.15e-03   4.26e-01  
45     -1.20e+02  7.47e-04   3.21e-01  
46     -1.20e+02  9.70e-04   1.37e-01  
47     -1.20e+02  4.85e-04   1.18e-01  
48     -1.20e+02  3.21e-04   1.65e-01  
49     -1.20e+02  2.64e-04   2.94e-01  
50     -1.20e+02  1.95e-04   4.83e-01  
51     -1.20e+02  2.92e-04   2.15e-01  
52     -1.20e+02  3.28e-04   6.76e-03  
53     -1.20e+02  3.07e-04   1.31e-02  
54     -1.20e+02  2.68e-04   2.45e-02  
55     -1.20e+02  2.07e-04   4.34e-02  
56     -1.20e+02  1.28e-04   6.97e-02  
57     -1.20e+02  6.80e-05   1.02e-01  
58     -1.20e+02  5.28e-05   1.70e-01  
59     -1.20e+02  4.35e-05   3.10e-01  
60     -1.20e+02  2.95e-05   5.20e-01  
61     -1.20e+02  1.40e-05   7.58e-01  
62     -1.20e+02  2.03e-05   1.70e-01  
63     -1.20e+02  1.41e-05   5.71e-02  
Terminated as iteration=64 as |gradf|=6.42e-06 < threshold=1.13e-05.
Optimized objective function value: -1.20e+02; |gradf|: 6.42e-06. Computing time: 0.095 s.
