Iter   f          |gradf|    alpha     
133    4.21e+00   2.97e+00   3.08e-03  
134    4.19e+00   2.97e+00   6.13e-03  
135    4.13e+00   3.30e+00   5.93e-03  
136    4.11e+00   7.93e+00   2.31e-03  
137    4.11e+00   1.01e+01   1.39e-05  
138    4.11e+00   9.94e+00   2.77e-05  
139    4.10e+00   9.69e+00   5.46e-05  
140    4.10e+00   9.21e+00   1.07e-04  
141    4.09e+00   8.33e+00   2.03e-04  
142    4.08e+00   6.87e+00   3.70e-04  
143    4.06e+00   4.89e+00   6.27e-04  
144    4.05e+00   3.26e+00   1.00e-03  
145    4.04e+00   2.91e+00   1.80e-03  
146    4.03e+00   2.90e+00   3.60e-03  
147    4.00e+00   2.89e+00   7.18e-03  
148    3.94e+00   2.87e+00   1.43e-02  
149    3.82e+00   2.84e+00   2.84e-02  
150    3.61e+00   6.95e+00   1.58e-03  
151    3.59e+00   4.61e+00   1.05e-03  
152    3.57e+00   2.75e+00   1.39e-03  
153    3.56e+00   2.74e+00   2.77e-03  
154    3.54e+00   2.74e+00   5.53e-03  
155    3.50e+00   2.79e+00   1.09e-02  
156    3.44e+00   6.83e+00   1.96e-03  
157    3.43e+00   6.57e+00   6.79e-04  
158    3.40e+00   3.30e+00   9.74e-04  
159    3.40e+00   2.68e+00   1.63e-03  
160    3.38e+00   2.67e+00   3.25e-03  
161    3.36e+00   2.67e+00   6.48e-03  
162    3.31e+00   2.68e+00   1.29e-02  
163    3.23e+00   5.25e+00   1.39e-03  
164    3.22e+00   3.15e+00   1.33e-03  
165    3.21e+00   2.67e+00   2.10e-03  
166    3.19e+00   2.68e+00   3.98e-03  
167    3.17e+00   3.21e+00   3.53e-03  
168    3.15e+00   5.44e+00   1.36e-03  
169    3.13e+00   3.11e+00   1.29e-03  
170    3.12e+00   2.62e+00   2.05e-03  
171    3.11e+00   2.62e+00   3.95e-03  
172    3.09e+00   2.99e+00   7.26e-03  
173    3.08e+00   1.01e+01   2.89e-04  
174    3.06e+00   7.37e+00   4.99e-04  
175    3.04e+00   4.30e+00   7.79e-04  
176    3.03e+00   2.65e+00   1.16e-03  
177    3.02e+00   2.54e+00   2.21e-03  
178    3.00e+00   2.53e+00   4.41e-03  
179    2.98e+00   2.57e+00   8.72e-03  
180    2.93e+00   4.70e+00   1.79e-03  
181    2.92e+00   4.01e+00   1.28e-03  
182    2.90e+00   2.64e+00   1.55e-03  
183    2.89e+00   2.53e+00   2.84e-03  
184    2.88e+00   2.63e+00   5.37e-03  
