problem,method,iter,nfev,ngev,cpu,f_final,grad_norm_final
P7_Rosenbrock_2,GD_wolf,5000,59664,15002,0.515947874984704,4.4107419270416197e-07,0.001603254953939261
P7_Rosenbrock_2,ModifiedNewton_armijo,22,71,22,0.0014562919968739152,3.743975643139474e-21,4.473328123560842e-10
P7_Rosenbrock_2,ModifiedNewton_wolf,22,71,64,0.0016268750187009573,3.743975643139474e-21,4.473328123560842e-10
P7_Rosenbrock_2,NewtonCG_armijo,22,71,22,0.001356584019958973,1.4808987192906972e-12,1.0876244830147722e-06
P7_Rosenbrock_2,NewtonCG_wolf,22,71,64,0.0017259169835597277,1.4808987192906972e-12,1.0876244830147722e-06
P7_Rosenbrock_2,BFGS_armijo,40,143,41,0.002116749994456768,7.569379275240039e-16,3.19730266345159e-08
P7_Rosenbrock_2,BFGS_wolf,40,143,121,0.002744500059634447,7.569379275240039e-16,3.19730266345159e-08
P7_Rosenbrock_2,DFP_armijo,5000,15034,5002,0.20796379202511162,0.0020785435611037567,1.9048878131470492
P7_Rosenbrock_2,DFP_wolf,5000,15208,15173,0.27571750001516193,0.002628402646493988,0.04524462575769664
P7_Rosenbrock_2,LBFGS_armijo,41,157,42,0.002136541996151209,1.7773854608852576e-19,4.316649926776729e-09
P7_Rosenbrock_2,LBFGS_wolf,42,151,131,0.00289258302655071,3.2312409037821e-13,6.453662639740128e-06
P8_Rosenbrock_100,GD_armijo,5000,16761,5001,0.16398529196158051,3.6984724239073064e-06,0.001948367579597914
P8_Rosenbrock_100,GD_wolf,5000,63332,15001,0.5424434579908848,58.70492118641541,5.800619118840304
P8_Rosenbrock_100,ModifiedNewton_armijo,163,510,163,0.31759245798457414,2.539060318410532e-14,6.257224397699448e-06
P8_Rosenbrock_100,ModifiedNewton_wolf,163,510,487,0.2838280840078369,2.539060318410532e-14,6.257224397699448e-06
P8_Rosenbrock_100,NewtonCG_armijo,163,508,163,0.22728500002995133,6.788623124547041e-15,3.2037040287480492e-06
P8_Rosenbrock_100,NewtonCG_wolf,163,508,487,0.19038587505929172,6.788623124547041e-15,3.2037040287480492e-06
P8_Rosenbrock_100,BFGS_armijo,502,2962,503,0.4286112498957664,1.8168929673595449e-09,0.0016258805660482503
P8_Rosenbrock_100,BFGS_wolf,5000,15377,14997,0.8117510830052197,,
P8_Rosenbrock_100,DFP_armijo,5000,15012,5002,1.3790639580693096,95.2322367994851,49.511387306232876
P8_Rosenbrock_100,DFP_wolf,5000,15012,15004,1.5907412499655038,95.2322367994851,49.511387306232876
P8_Rosenbrock_100,LBFGS_armijo,536,1680,537,0.10721512499731034,1.9957944144602514e-08,0.0030271783320807368
P8_Rosenbrock_100,LBFGS_wolf,536,1680,1609,0.0873170830309391,1.9957944144602514e-08,0.0030271783320807368
P9_DataFit_2,GD_armijo,583,1953,583,0.02918820909690112,1.0722579084137499e-13,2.55824432249722e-07
P9_DataFit_2,GD_wolf,879,6593,2635,0.08915620797779411,6.639651487239586e-14,2.5196291680051075e-07
P9_DataFit_2,ModifiedNewton_armijo,61,185,61,0.004377041943371296,9.894164576032588e-14,2.5168759199017913e-07
P9_DataFit_2,ModifiedNewton_wolf,60,183,179,0.0058630420826375484,9.343226653951128e-14,2.445798619189916e-07
P9_DataFit_2,NewtonCG_armijo,54,161,54,0.004611667012795806,7.975425590021879e-14,2.2596964122113656e-07
P9_DataFit_2,NewtonCG_wolf,54,161,160,0.007591957924887538,7.975425590021879e-14,2.2596964122113656e-07
P9_DataFit_2,BFGS_armijo,16,52,17,0.0009119580499827862,5.983879733240236e-15,3.8327400592142937e-07
P9_DataFit_2,BFGS_wolf,16,52,49,0.0012586660450324416,5.983879733240236e-15,3.8327400592142937e-07
P9_DataFit_2,DFP_armijo,5000,15038,5002,0.23340000002644956,0.5060776998279617,4.123023780690508
P9_DataFit_2,DFP_wolf,5000,15383,15353,0.3365051250439137,0.4637312518608851,126.59322643921654
P9_DataFit_2,LBFGS_armijo,20,66,21,0.001087999902665615,3.930836741997737e-14,6.280549042352759e-07
P9_DataFit_2,LBFGS_wolf,20,66,61,0.0014921659603714943,3.930836741997737e-14,6.280549042352759e-07
P10_Exponential_10,GD_armijo,24,84,24,0.0008454999187961221,-0.20557280900008407,1.6785774437089174e-09
P10_Exponential_10,GD_wolf,16,61,55,0.0008637499995529652,-0.20557280898325053,4.260474314510265e-06
P10_Exponential_10,ModifiedNewton_armijo,30,92,30,0.002980959019623697,-0.20557280897599672,4.210699938720861e-06
P10_Exponential_10,ModifiedNewton_wolf,30,92,88,0.0022557919146493077,-0.20557280897599672,4.210699938720861e-06
P10_Exponential_10,NewtonCG_armijo,28,90,28,0.002722625038586557,-0.20557280894781593,3.3658227971753774e-06
P10_Exponential_10,NewtonCG_wolf,28,90,82,0.0019033750286325812,-0.20557280894781593,3.3658227971753774e-06
P10_Exponential_10,BFGS_armijo,46,150,47,0.0039731659926474094,-0.20557257433704515,3.411249638772605e-05
P10_Exponential_10,BFGS_wolf,35,124,113,0.0038442499935626984,-0.2055724997523542,3.709154158872937e-05
P10_Exponential_10,DFP_armijo,5000,15018,5002,0.20011045795399696,0.985173763884865,0.014705906623405894
P10_Exponential_10,DFP_wolf,5000,16091,15865,0.2594100839924067,0.7204416740574554,2.1857194293607463
P10_Exponential_10,LBFGS_armijo,36,125,37,0.0020506669534370303,-0.20557250789291373,3.878306502540061e-05
P10_Exponential_10,LBFGS_wolf,31,108,98,0.0021318329963833094,-0.20557279310970156,4.00400052678344e-06
P11_Exponential_100,GD_armijo,23,81,23,0.0013394169509410858,-0.20557280896414865,6.224859470604915e-06
P11_Exponential_100,GD_wolf,15,58,52,0.001385540934279561,-0.2055728089208229,9.244879661862715e-06
P11_Exponential_100,ModifiedNewton_armijo,5000,15004,5001,6.458579583093524,1115.9573974217724,1117.0574624859728
P11_Exponential_100,ModifiedNewton_wolf,2709,12646,12643,3.5686922080349177,-0.20557280888143167,1.1175919874911711e-05
P11_Exponential_100,NewtonCG_armijo,27,87,27,0.020491124945692718,-0.20557280838709713,1.0274175024595303e-05
P11_Exponential_100,NewtonCG_wolf,27,87,79,0.004252582904882729,-0.20557280838709713,1.0274175024595303e-05
P11_Exponential_100,BFGS_armijo,33,109,34,0.016336000058799982,-0.20557273012384744,0.00011920892554500739
P11_Exponential_100,BFGS_wolf,30,104,94,0.015484499977901578,-0.20557060614884573,9.089836698311728e-05
P11_Exponential_100,DFP_armijo,5000,15118,5002,0.768259875010699,0.9834227975326222,0.016425249979676596
P11_Exponential_100,DFP_wolf,500,1655,1620,0.1326201669871807,-0.20557255518472226,0.00010134256880169316
P11_Exponential_100,LBFGS_armijo,31,103,32,0.0032725000055506825,-0.20557226113870547,4.1664004767776376e-05
P11_Exponential_100,LBFGS_wolf,30,104,94,0.012286624987609684,-0.20557076116648454,8.189735106343283e-05
P12_Genhumps_5,GD_armijo,97,311,97,0.0035040000220760703,1.372831693205376e-12,7.410348226954955e-07
P12_Genhumps_5,GD_wolf,186,771,569,0.021305416012182832,7.444315592394994e-12,1.7256089467077995e-06
P12_Genhumps_5,ModifiedNewton_armijo,93,306,93,0.012370915967039764,2.0035185599571728e-20,6.772802782647238e-11
P12_Genhumps_5,ModifiedNewton_wolf,45,176,166,0.00869741605129093,2.6063606931306954e-23,2.3652086270443157e-12
P12_Genhumps_5,NewtonCG_armijo,5000,15001,5001,0.33860933303367347,97105.48811606586,187.39196672731052
P12_Genhumps_5,NewtonCG_wolf,5000,10005,10005,0.2781638749875128,55270.854632010014,141.1239629432476
P12_Genhumps_5,BFGS_armijo,70,235,71,0.003358792047947645,3.1755795958867735e-13,2.8132534135757674e-07
P12_Genhumps_5,BFGS_wolf,67,224,209,0.005001666024327278,1.421893891478565e-12,7.437921971510462e-07
P12_Genhumps_5,DFP_armijo,5000,15058,5002,0.21273579099215567,0.0029228028143623514,0.051453867561439395
P12_Genhumps_5,DFP_wolf,5000,15092,15071,0.3170874579809606,0.0007708612459270675,0.01766951045164514
P12_Genhumps_5,LBFGS_armijo,38,141,39,0.0024152080295607448,2.9761641555620857e-12,1.088299142741627e-06
P12_Genhumps_5,LBFGS_wolf,37,132,114,0.003007749910466373,2.432001877591788e-13,2.699394358933262e-07
